"Datos de: SERIE=TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL VIAJEROS, TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL PERNOCTACIONES, TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - GRADO DE OCUPACIÓN, TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTANCIA MEDIA, TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTABLECIMIENTOS, TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - PLAZAS"
"COMUNIDAD AUTONOMA","CASTILLA Y LEON",,,,,,
"SERIE","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL VIAJEROS","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - TOTAL PERNOCTACIONES","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - GRADO DE OCUPACIÓN","TURISMO - DEMANDA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTANCIA MEDIA","TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - ESTABLECIMIENTOS","TURISMO - OFERTA TURÍSTICA - TOTAL ESTABLECIMIENTOS TURÍSTICOS - PLAZAS",
,VALOR,VALOR,VALOR,VALOR,VALOR,VALOR,
MES,Sum,Sum,Sum,Sum,Sum,Sum,
"02-2009",      345783,      578192,       19.25,        1.67,        4997,      136553,
"03-2009",      435680,      732010,       20.88,        1.68,        5030,      136834,
"04-2009",      526149,      899427,       24.16,        1.71,        5062,      137333,
"05-2009",      535097,      905904,       23.47,        1.69,        5085,      137666,
"06-2009",      518801,      840514,       20.94,        1.62,        5119,      138288,
"07-2009",      574741,     1031358,       23.99,        1.79,        5153,      138753,
"08-2009",      803942,     1598309,       36.67,        1.99,        5175,      138891,
"09-2009",      532658,      924960,       23.65,        1.74,        5190,      139179,
"10-2009",      552182,      937086,       26.02,         1.7,        5200,      139308,
"11-2009",      410082,      704254,       21.11,        1.72,        5223,      139791,
"12-2009",      358999,      651563,        19.2,        1.81,        5244,      139910,
"01-2010",      261615,      468366,       13.77,        1.79,        5254,      140035,
"02-2010",      321353,      555086,       17.91,        1.73,        5291,      140659,
"03-2010",      418185,      712108,       19.89,         1.7,        5325,      141024,
"04-2010",      519987,      893918,       23.18,        1.72,        5353,      141568,
"05-2010",      563714,      944107,       23.68,        1.67,        5382,      141865,
"06-2010",      532650,      870920,          22,        1.64,        5404,      142184,
"07-2010",      601827,     1067034,       24.81,        1.77,        5455,      142710,
"08-2010",      798806,     1541730,       35.47,        1.93,        5479,      142889,
